日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-14,603986,117.86,116.84,118.45,116.71,112792,1331566268.0,1.48,-0.65,-0.77,1.7
2025-07-15,603986,116.35,114.25,116.81,113.25,236203,2718281579.0,3.05,-2.22,-2.59,3.56
2025-07-16,603986,114.25,113.49,115.65,113.25,158743,1826208291.0,2.1,-0.67,-0.76,2.39
2025-07-17,603986,113.3,117.24,117.44,113.07,241275,2805867152.0,3.85,3.3,3.75,3.64
2025-07-18,603986,117.11,116.41,119.55,115.48,203233,2391314587.0,3.47,-0.71,-0.83,3.06
2025-07-21,603986,116.07,116.36,116.78,114.65,115944,1350683002.0,1.83,-0.04,-0.05,1.75
2025-07-22,603986,116.22,115.12,116.58,115.05,143927,1672922189.0,1.31,-1.07,-1.24,2.17
2025-07-23,603986,115.02,116.24,117.61,114.75,149111,1741699657.0,2.48,0.97,1.12,2.25
2025-07-24,603986,115.85,117.14,117.25,114.39,172254,2011696442.0,2.46,0.77,0.9,2.6
2025-07-25,603986,117.15,121.19,121.25,117.15,356934,4286282667.0,3.5,3.46,4.05,5.38
2025-07-28,603986,121.25,119.51,121.45,118.96,191012,2302878681.0,2.05,-1.39,-1.68,2.88
2025-07-29,603986,119.25,119.53,120.75,118.65,169941,2042850877.0,1.76,0.02,0.02,2.56
2025-07-30,603986,123.31,123.24,128.92,122.56,472987,5957278630.0,5.32,3.1,3.71,7.13
2025-07-31,603986,120.25,120.38,126.05,119.53,308748,3788904668.0,5.29,-2.32,-2.86,4.65
2025-08-01,603986,119.75,116.56,121.35,116.34,247813,2946052922.0,4.16,-3.17,-3.82,3.73
2025-08-04,603986,115.55,118.09,119.45,115.55,160783,1902328181.0,3.35,1.31,1.53,2.42
2025-08-05,603986,118.25,117.25,118.55,116.55,124851,1471568918.0,1.69,-0.71,-0.84,1.88
2025-08-06,603986,117.25,117.53,117.9,116.26,114486,1349530061.0,1.4,0.24,0.28,1.72
2025-08-07,603986,117.23,116.92,118.45,116.57,169941,2007916589.0,1.6,-0.52,-0.61,2.56
2025-08-08,603986,116.93,115.65,116.93,115.65,121513,1418055203.0,1.09,-1.09,-1.27,1.83
2025-08-11,603986,116.04,117.2,117.75,115.73,127982,1508912168.0,1.75,1.34,1.55,1.93
2025-08-12,603986,117.56,119.72,120.75,116.85,252756,3025712891.0,3.33,2.15,2.52,3.81
2025-08-13,603986,119.74,120.71,122.25,119.19,240987,2925464097.0,2.56,0.83,0.99,3.63
2025-08-14,603986,120.95,120.26,124.74,119.8,314003,3865198490.0,4.09,-0.37,-0.45,4.73
2025-08-15,603986,119.26,122.15,122.75,119.26,211500,2590294402.0,2.9,1.57,1.89,3.19
2025-08-18,603986,122.58,124.95,127.23,120.76,328499,4106567032.0,5.3,2.29,2.8,4.95
2025-08-19,603986,124.73,122.51,128.13,122.1,323175,4046363006.0,4.83,-1.95,-2.44,4.87
2025-08-20,603986,122.25,126.26,126.5,121.26,359898,4494071401.0,4.28,3.06,3.75,5.42
2025-08-21,603986,131.34,136.41,138.96,131.34,858971,11832481427.0,6.04,8.04,10.15,12.94
2025-08-22,603986,134.37,150.13,150.13,134.33,780791,11210984976.0,11.58,10.06,13.72,11.76
2025-08-25,603986,158.25,157.05,162.75,152.13,836198,13172131297.0,7.07,4.61,6.92,12.6
2025-08-26,603986,157.05,153.65,157.05,151.87,382253,5917649650.0,3.3,-2.16,-3.4,5.76
2025-08-27,603986,155.12,157.88,167.75,151.43,623811,10014123480.0,10.62,2.75,4.23,9.4
2025-08-28,603986,160.25,163.7,165.05,158.26,494328,8027959133.0,4.3,3.69,5.82,7.45
2025-08-29,603986,161.05,158.23,161.25,155.65,398006,6325048099.0,3.42,-3.34,-5.47,6.0
2025-09-01,603986,163.36,174.13,174.13,156.25,612797,10223340506.0,11.3,10.05,15.9,9.23
2025-09-02,603986,178.53,175.25,187.25,172.3,762852,13736024580.0,8.59,0.64,1.12,11.49
2025-09-03,603986,175.51,170.34,176.98,167.8,441276,7587032736.0,5.24,-2.8,-4.91,6.63
2025-09-04,603986,168.25,153.23,170.32,153.23,454981,7284233850.0,10.03,-10.04,-17.11,6.83
2025-09-05,603986,149.25,158.81,163.24,145.05,699488,10700137153.0,11.87,3.64,5.58,10.5
2025-09-08,603986,161.18,163.08,168.25,158.4,523715,8602671849.0,6.2,2.69,4.27,7.86
2025-09-09,603986,160.25,156.4,162.05,153.87,327320,5191824525.0,5.02,-4.1,-6.68,4.91
2025-09-10,603986,156.39,160.54,162.5,154.95,334657,5358368655.0,4.83,2.65,4.14,5.02
2025-09-11,603986,160.51,176.67,176.67,159.25,554424,9422962073.0,10.85,10.05,16.13,8.32
2025-09-12,603986,179.24,189.46,194.41,176.75,710357,13432520618.0,10.0,7.24,12.79,10.67
2025-09-15,603986,192.76,190.19,193.75,185.87,495483,9469855424.0,4.16,0.39,0.73,7.44
