日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-19,000729,12.66,12.86,12.88,12.62,168758,220945115.66,2.04,0.86,0.11,0.67
2025-05-20,000729,12.81,13.12,13.21,12.79,244614,326113609.84,3.27,2.02,0.26,0.97
2025-05-21,000729,13.1,13.12,13.29,13.06,153077,205641989.08,1.75,0.0,0.0,0.61
2025-05-22,000729,13.13,13.29,13.36,13.1,176434,239270051.12,1.98,1.3,0.17,0.7
2025-05-23,000729,13.23,13.25,13.47,13.21,163059,221911634.6,1.96,-0.3,-0.04,0.65
2025-05-26,000729,13.27,13.19,13.58,13.16,216856,295546608.44,3.17,-0.45,-0.06,0.86
2025-05-27,000729,13.27,13.55,13.74,13.21,241079,333153938.57,4.02,2.73,0.36,0.96
2025-05-28,000729,13.58,13.93,14.11,13.52,278048,394509379.58,4.35,2.8,0.38,1.11
2025-05-29,000729,13.92,13.83,14.01,13.77,201925,286138627.22,1.72,-0.72,-0.1,0.8
2025-05-30,000729,13.76,13.8,13.94,13.71,200593,283118767.05,1.66,-0.22,-0.03,0.8
2025-06-03,000729,13.85,13.96,14.17,13.81,262087,374840499.16,2.61,1.16,0.16,1.04
2025-06-04,000729,13.86,14.07,14.11,13.79,198942,283657506.13,2.29,0.79,0.11,0.79
2025-06-05,000729,14.01,13.53,14.17,13.48,258188,360787683.52,4.9,-3.84,-0.54,1.03
2025-06-06,000729,13.5,13.75,13.82,13.36,222448,311371587.46,3.4,1.63,0.22,0.89
2025-06-09,000729,13.75,13.63,13.91,13.47,188414,263434220.19,3.2,-0.87,-0.12,0.75
2025-06-10,000729,13.69,13.3,13.74,13.29,192439,264440784.04,3.3,-2.42,-0.33,0.77
2025-06-11,000729,13.33,13.21,13.36,13.15,195248,264070826.22,1.58,-0.68,-0.09,0.78
2025-06-12,000729,13.25,12.79,13.3,12.72,352501,465876121.63,4.39,-3.18,-0.42,1.4
2025-06-13,000729,12.78,12.05,12.78,11.83,731543,905467128.22,7.43,-5.79,-0.74,2.91
2025-06-16,000729,11.99,12.32,12.41,11.84,441513,552535798.87,4.73,2.24,0.27,1.76
2025-06-17,000729,12.29,12.29,12.39,12.17,205164,257355495.44,1.79,-0.24,-0.03,0.82
2025-06-18,000729,12.91,12.65,13.19,12.64,560214,737768456.22,4.48,2.93,0.36,2.23
2025-06-19,000729,12.65,12.63,12.93,12.5,233118,302631747.51,3.4,-0.16,-0.02,0.93
2025-06-20,000729,12.63,12.86,13.51,12.63,460444,616367706.86,6.97,1.82,0.23,1.83
2025-06-23,000729,12.79,12.52,12.86,12.38,307770,394976015.14,3.73,-2.64,-0.34,1.23
2025-06-24,000729,12.53,12.67,12.74,12.43,307568,396989135.8,2.48,1.2,0.15,1.23
2025-06-25,000729,12.66,12.57,12.77,12.48,248877,320418129.17,2.29,-0.79,-0.1,0.99
2025-06-26,000729,12.53,12.38,12.55,12.34,266228,338327896.92,1.67,-1.51,-0.19,1.06
2025-06-27,000729,12.38,12.4,12.42,12.23,169314,213734581.19,1.53,0.16,0.02,0.67
2025-06-30,000729,12.4,12.64,12.74,12.35,237180,304955301.35,3.15,1.94,0.24,0.95
2025-07-01,000729,12.63,12.74,12.81,12.52,198438,257151819.24,2.29,0.79,0.1,0.79
2025-07-02,000729,12.72,12.56,12.75,12.53,154301,199482721.77,1.73,-1.41,-0.18,0.61
2025-07-03,000729,12.56,12.54,12.65,12.5,135460,173924355.1,1.19,-0.16,-0.02,0.54
2025-07-04,000729,12.51,12.45,12.56,12.36,140483,178835130.48,1.59,-0.72,-0.09,0.56
